iter	Passed	Remaining
0	7	7725
1	13	6583
2	18	6216
3	23	5923
4	29	5804
5	34	5723
6	39	5655
7	44	5574
8	49	5495
9	55	5474
10	60	5433
11	65	5410
12	71	5397
13	76	5391
14	81	5376
15	87	5400
16	93	5392
17	98	5369
18	103	5368
19	109	5349
20	114	5321
21	119	5305
22	124	5296
23	129	5283
24	135	5267
25	139	5244
26	145	5237
27	150	5226
28	155	5213
29	161	5220
30	167	5226
31	172	5219
32	177	5211
33	183	5203
34	188	5196
35	193	5190
36	199	5180
37	204	5168
38	209	5167
39	214	5158
40	220	5154
41	226	5155
42	231	5144
43	236	5140
44	241	5131
45	246	5120
46	252	5114
47	257	5107
48	262	5102
49	268	5096
50	273	5088
51	278	5081
52	284	5074
53	289	5068
54	294	5064
55	300	5059
56	305	5051
57	310	5047
58	315	5037
59	320	5024
60	325	5015
61	330	5006
62	335	4995
63	341	4992
64	346	4988
65	352	4984
66	357	4980
67	362	4972
68	368	4968
69	373	4963
70	378	4958
71	384	4951
72	389	4940
73	394	4932
74	399	4926
75	404	4921
76	409	4911
77	415	4907
78	420	4898
79	425	4896
80	430	4888
81	435	4880
82	441	4874
83	446	4867
84	451	4862
85	457	4857
86	462	4856
87	468	4859
88	474	4854
89	479	4848
90	484	4841
91	489	4836
92	495	4828
93	500	4825
94	506	4820
95	511	4815
96	516	4811
97	521	4804
98	527	4798
99	532	4795
100	538	4790
101	543	4781
102	548	4774
103	553	4768
104	558	4763
105	564	4760
106	569	4755
107	575	4749
108	580	4744
109	585	4737
110	590	4730
111	595	4722
112	601	4720
113	606	4714
114	611	4705
115	616	4700
116	622	4695
117	627	4688
118	632	4681
119	637	4673
120	642	4666
121	647	4661
122	652	4654
123	657	4646
124	663	4641
125	668	4634
126	673	4628
127	678	4622
128	683	4616
129	689	4612
130	694	4605
131	699	4602
132	704	4594
133	710	4588
134	715	4585
135	720	4577
136	726	4574
137	731	4569
138	736	4564
139	742	4560
140	747	4555
141	752	4549
142	758	4543
143	763	4538
144	768	4533
145	773	4527
146	779	4523
147	784	4517
148	790	4512
149	795	4505
150	800	4499
151	805	4495
152	810	4489
153	816	4483
154	821	4477
155	826	4473
156	832	4467
157	837	4462
158	842	4458
159	848	4453
160	853	4448
161	858	4442
162	864	4437
163	869	4430
164	874	4426
165	879	4420
166	885	4414
167	890	4408
168	895	4403
169	900	4398
170	906	4392
171	911	4387
172	916	4381
173	921	4376
174	927	4373
175	932	4367
176	938	4362
177	943	4357
178	949	4352
179	954	4347
180	959	4342
